species,coef,se,ci_lower,ci_upper,n_obs,n_treated
Arborophila davidi,0.06976744186046527,0.0902924266887695,-0.11027054350229401,0.24980542722322455,100.0,3.0
Carpococcyx renauldi,0.009887066454288466,0.006889136105792475,-0.00362391384269819,0.023398046751275124,2025.0,86.0
Chelonia mydas,-0.004082013937001342,0.0064512068958668175,-0.01672634005519113,0.008562312181188447,82650.0,836.0
Crocodylus siamensis,0.0019567129502102262,0.004319003538018162,-0.006510073135585612,0.010423499036006064,6325.0,202.0
Cuora trifasciata,-0.004768646151553534,0.0049482255568997395,-0.014479245619979798,0.004941953316872729,1025.0,34.0
Elephas maximus,0.007704097602431316,0.012847983274666658,-0.01748159798796456,0.03288979319282719,7750.0,358.0
Lophura edwardsi,-0.012630014858840986,0.010103141769318391,-0.032600816368706736,0.007340786651024764,175.0,18.0
Panthera tigris,-0.002193224349721423,0.002769955332631592,-0.007622425227675721,0.0032359765282328743,36400.0,1122.0
Pongo abelii,-0.043758967001434744,0.03522175491342252,-0.1131436899509018,0.025625755948032312,275.0,17.0
Rhacophorus catamitus,-0.06031746031746035,0.03687308220289835,-0.13289342474653976,0.01225850411161905,325.0,17.0
Rhinoceros sondaicus,0.043584812011415716,0.04189041601359239,-0.03869207968152018,0.12586170370435162,625.0,81.0
Turdoides striata,-0.01228443575975202,0.015653914033586173,-0.04296801163355579,0.018399140114051755,15700.0,456.0
