cohort_year,att,se,pvalue,ci_lower,ci_upper,n_treated,n_control,significant
2000,0.01102119221713309,0.012198479285059391,0.3662678702808162,-0.012887827181583317,0.0349302116158495,226,153199,False
2001,0.008216106564839462,0.006025215199242327,0.17268912338434728,-0.003593315225675499,0.020025528355354424,104,153095,False
2002,0.042850951702585204,0.022304056876361056,0.05470616380022442,-0.0008649997750824617,0.08656690318025287,109,152986,False
2003,0.022762475366970118,0.012263193558364433,0.06343243449425695,-0.0012733840074241713,0.04679833474136441,126,152860,False
2004,-0.03365885180443979,0.017843564830799692,0.05925245058781181,-0.06863223887280719,0.0013145352639276076,72,152788,False
2005,-0.013316311967923914,0.009510031957028355,0.161444033026366,-0.03195597460369949,0.005323350667851662,23,152765,False
2006,-0.020739098748215716,0.007274015076661891,0.004357137535168976,-0.034996168298473025,-0.006482029197958409,894,151871,True
2007,-0.01960333399252816,0.008648878604215609,0.023417630897528463,-0.036555136056790755,-0.0026515319282655672,630,151241,True
2008,-0.003934712425466578,0.009131165490183182,0.666534293829216,-0.021831796786225616,0.01396237193529246,328,150913,False
2009,-0.0019304703181175066,0.01662206321146032,0.9075425150721326,-0.034509714212579735,0.03064877357634472,130,150783,False
2010,-0.020035379536825503,0.01701546246783107,0.23900559296335855,-0.0533856859737744,0.013314926900123394,130,150653,False
2011,0.020979739385538217,0.026197475936800795,0.4232310461071114,-0.030367313450591342,0.07232679222166777,119,150534,False
2012,0.009484579838735761,0.0204401659335801,0.6426364206799837,-0.03057814539108123,0.049547305068552754,86,150448,False
2013,-0.010226899333811258,0.01446285980560167,0.4794963931917695,-0.038574104552790534,0.018120305885168015,97,150351,False
2015,0.0012149679477390122,0.03438538561515293,0.971813582715922,-0.06618038785796074,0.06861032375343876,31,150319,False
2016,0.017395694974509417,0.031028623057277823,0.5750480641801206,-0.043420406217755114,0.07821179616677396,39,150280,False
2017,-0.02080879588737652,0.03437095832507755,0.544902255754866,-0.08817587420452852,0.04655828242977547,15,150265,False
2019,-0.03311702046662219,0.003829453299170824,0.0,-0.040622748932997006,-0.025611292000247372,26,150231,True
2021,0.0057433493796642966,0.04919370901928493,0.9070585880434032,-0.09067632029813416,0.10216301905746275,17,150211,False
2023,-0.03979957715020099,0.002463845843177277,0.0,-0.04462871500282846,-0.03497043929757353,10,150200,True
